price_cpu,cpuMark,cpuValue,threadMark,threadValue,TDP_cpu,powerPerf,cores,testDate_cpu,socket,category_cpu,gpuName,G3Dmark,G2Dmark,price_gpu,powerPerformance,testDate_gpu,category_gpu
441.50094560244025,108822,35.35491103202847,3330,15.189008642602948,280.0,1871,64,2022,200,0,681,29094.0,1117.0,2099.99,64.65,2022.0,4
7299.99,88338,12.1,2635,0.36,280.0,1652,64,2021,178,9,678,26887.0,1031.0,1199.99,76.82,2021.0,0
441.50094560244025,86006,35.35491103202847,2387,15.189008642602948,62.37555732484076,2458,64,2021,201,9,680,26395.0,999.0,1749.99,75.41,2020.0,0
7060.0,85861,12.16,2727,0.39,225.0,1865,64,2021,178,9,2054,25458.0,1102.0,1120.31,84.86,2020.0,0
6807.98,83971,12.33,2626,0.39,280.0,1562,64,2020,200,0,676,24853.0,1003.0,999.0,77.66,2020.0,0
8399.69,81568,9.71,2569,0.31,280.0,1550,64,2020,199,0,674,23367.0,1003.0,749.99,80.58,2021.0,0
441.50094560244025,80842,35.35491103202847,3340,15.189008642602948,280.0,1519,32,2022,200,0,2052,23364.0,1078.0,859.0,77.88,2020.0,0
441.50094560244025,77460,35.35491103202847,2564,15.189008642602948,62.37555732484076,2458,60,2021,201,9,1283,22867.0,984.0,2631.2,99.42,2021.0,5
5424.99,76455,14.09,2695,0.5,225.0,1726,48,2021,178,9,1285,22122.0,832.0,4999.99,73.74,2021.0,5
4000.0,71646,17.91,2097,0.52,200.0,1800,64,2020,178,9,672,22093.0,969.0,719.99,100.42,2020.0,0
6817.0,71576,10.5,2054,0.3,225.0,1659,64,2021,178,9,664,21796.0,940.0,998.59,87.18,2018.0,0
5045.99,68749,13.62,2145,0.43,225.0,1610,64,2019,178,9,1282,21546.0,892.0,2134.64,107.73,2022.0,4
441.50094560244025,68505,35.35491103202847,2775,15.189008642602948,280.0,1336,32,2021,178,9,2051,20667.0,1030.0,758.99,82.67,2020.0,0
441.50094560244025,68405,35.35491103202847,3346,15.189008642602948,280.0,1333,24,2022,200,0,671,20206.0,961.0,599.99,101.03,2020.0,0
3684.0,67748,18.39,2155,0.59,225.0,1604,48,2021,178,9,2263,20169.0,844.0,2794.99,72.03,2018.0,5
2999.0,67144,22.39,2742,0.91,225.0,1557,32,2021,178,9,1191,19692.0,837.0,6300.0,66.75,2018.0,5
441.50094560244025,64727,35.35491103202847,1922,15.189008642602948,62.37555732484076,2458,48,2020,201,9,662,19519.0,934.0,683.99,78.08,2019.0,0
2997.99,63835,21.29,2694,0.9,280.0,1217,32,2019,199,0,2266,19508.0,992.0,439.74660036166364,78.03,2020.0,4
4499.99,63495,14.11,2666,0.59,280.0,1211,32,2020,200,0,679,19507.0,780.0,439.74660036166364,130.0466667,2022.0,4
8978.0,62317,6.94,2385,0.27,270.0,1256,40,2021,106,9,1192,19126.0,801.0,4741.49,73.56,2019.0,5
3499.99,61689,17.63,2110,0.6,200.0,1615,64,2019,178,9,2048,18993.0,1014.0,529.99,82.58,2021.0,0
4989.0,60948,12.22,2975,0.6,240.0,1378,24,2021,178,9,1280,18988.0,938.0,1233.98,135.63,2021.0,5
2840.0,59732,21.03,2447,0.86,200.0,1558,32,2021,178,9,2264,18816.0,845.0,1999.99,75.26,2017.0,0
1499.99,57666,38.44,2965,1.98,200.0,1518,24,2021,178,9,1753,18802.0,914.0,2194.99,75.208,2021.0,4
1789.99,56728,31.69,2207,1.23,225.0,1372,32,2019,178,9,660,18732.0,917.0,633.03,74.93,2018.0,0
3761.0,56562,15.04,2563,0.68,240.0,1271,32,2021,178,9,2267,18721.0,924.0,439.74660036166364,74.89,2017.0,0
441.50094560244025,55358,35.35491103202847,2137,15.189008642602948,200.0,1479,32,2021,178,9,675,18490.0,719.0,439.74660036166364,147.92,2022.0,4
1682.9,54757,32.54,2678,1.59,280.0,987,24,2019,199,0,522,18284.0,934.0,604.15,73.14,2017.0,0
5097.75,54416,10.67,2382,0.47,250.0,1154,32,2021,106,9,992,18280.0,812.0,1645.0,73.12,2017.0,0
1799.0,53511,29.74,2580,1.43,225.0,1278,28,2021,178,9,657,18168.0,896.0,613.8,84.5,2019.0,0
3173.0,53112,16.74,2455,0.77,235.0,1208,28,2021,106,9,1097,17675.0,841.0,8999.0,70.7,2018.0,5
441.50094560244025,51836,35.35491103202847,2439,15.189008642602948,300.0,806,32,2021,106,9,2265,16988.0,1086.0,439.74660036166364,67.95,2018.0,0
441.50094560244025,51656,35.35491103202847,3346,15.189008642602948,280.0,909,16,2022,200,0,669,16958.0,951.0,329.0,99.76,2021.0,0
1962.0,51368,26.18,2081,1.06,180.0,1512,24,2020,178,9,2035,16892.0,955.0,694.94,75.08,2019.0,0
441.50094560244025,49386,35.35491103202847,2445,15.189008642602948,210.0,1270,36,2022,155,9,1777,16853.0,720.0,439.74660036166364,67.41,2020.0,4
2750.0,49177,17.88,1843,0.67,180.0,1470,32,2020,178,9,2121,16767.0,788.0,1899.95,55.89,2019.0,0
2696.51,48995,18.17,1894,0.7,180.0,1469,32,2019,178,9,2036,16650.0,965.0,439.74660036166364,70.85,2019.0,0
3825.9,48330,12.63,2453,0.64,230.0,1132,24,2021,106,9,677,16522.0,662.0,439.74660036166364,143.67,2021.0,2
1997.99,46295,23.17,1983,0.99,180.0,1386,24,2021,178,9,653,16514.0,881.0,528.89,94.37,2019.0,0
649.74,46195,71.1,3498,5.38,105.0,2025,16,2020,19,0,1281,16297.0,543.0,439.74660036166364,116.41,2021.0,3
5992.0,46085,7.69,2878,0.48,240.0,971,16,2021,178,9,1284,16273.0,640.0,439.74660036166364,98.62,2021.0,3
1699.99,45882,26.99,2947,1.73,190.0,1324,16,2021,178,9,1188,16260.0,763.0,439.74660036166364,70.7,2019.0,5
441.50094560244025,45860,35.35491103202847,2736,15.189008642602948,225.0,1079,64,2022,178,9,2286,16235.0,406.0,439.74660036166364,34.10363391141618,2019.0,4
3850.34,45517,11.82,2522,0.65,185.0,1338,24,2021,106,9,1096,16203.0,858.0,439.74660036166364,68.95,2017.0,5
779.98,44243,56.72,4317,5.53,150.0,1554,8,2022,138,0,655,16079.0,833.0,627.44,91.88,2018.0,0
1736.62,43745,25.19,2383,1.37,185.0,1274,24,2021,106,9,911,15910.0,604.0,439.74660036166364,34.10363391141618,2022.0,4
1904.0,43056,22.61,2034,1.07,205.0,1131,28,2021,106,9,2172,15899.0,823.0,439.74660036166364,34.10363391141618,2022.0,4
899.95,42244,46.94,1941,2.16,180.0,1268,32,2017,178,9,2046,15853.0,1003.0,399.99,99.08,2021.0,0
2209.97,41871,18.95,1689,0.76,155.0,1465,32,2019,178,9,1181,15811.0,773.0,3250.0,63.25,2016.0,5
1428.93,41741,29.21,1970,1.38,180.0,1258,24,2019,178,9,1185,15515.0,904.0,899.0,96.97,2019.0,5
441.50094560244025,41578,35.35491103202847,3347,15.189008642602948,280.0,550,12,2022,200,0,521,15265.0,890.0,442.79,84.8,2016.0,0
2932.63,41434,14.13,2406,0.82,205.0,1071,18,2021,106,9,673,15231.0,651.0,439.74660036166364,132.44,2021.0,2
441.50094560244025,41360,35.35491103202847,3900,15.189008642602948,60.0,2493,16,2022,201,0,661,15107.0,812.0,439.74660036166364,100.71,2019.0,2
